Epoch: 233/1000 | Train Loss: 0.000855 | Time: 24.69s | LR: 2.983939418458737e-14
Epoch: 234/1000 | Train Loss: 0.000855 | Time: 24.9s | LR: 2.3871515347669898e-14
Epoch: 235/1000 | Train Loss: 0.000855 | Time: 24.12s | LR: 1.909721227813592e-14
Epoch: 236/1000 | Train Loss: 0.000855 | Time: 23.72s | LR: 1.5277769822508738e-14
Epoch: 237/1000 | Train Loss: 0.000855 | Time: 23.48s | LR: 1.2222215858006991e-14
Epoch: 238/1000 | Train Loss: 0.000855 | Time: 23.92s | LR: 1.2222215858006991e-14
Epoch: 239/1000 | Train Loss: 0.000855 | Time: 23.01s | LR: 1.2222215858006991e-14
Epoch: 240/1000 | Train Loss: 0.000855 | Time: 24.11s | LR: 1.2222215858006991e-14
Epoch: 241/1000 | Train Loss: 0.000854 | Time: 25.09s | LR: 1.2222215858006991e-14
Epoch: 242/1000 | Train Loss: 0.000854 | Time: 24.48s | LR: 9.777772686405594e-15
Epoch: 243/1000 | Train Loss: 0.000855 | Time: 24.69s | LR: 7.822218149124475e-15
Epoch: 244/1000 | Train Loss: 0.000855 | Time: 24.26s | LR: 6.25777451929958e-15
Epoch: 245/1000 | Train Loss: 0.000855 | Time: 23.56s | LR: 5.006219615439664e-15
Epoch: 246/1000 | Train Loss: 0.000855 | Time: 25.53s | LR: 4.0049756923517315e-15
Epoch: 247/1000 | Train Loss: 0.000854 | Time: 30.56s | LR: 4.0049756923517315e-15
Epoch: 248/1000 | Train Loss: 0.000855 | Time: 27.1s | LR: 3.2039805538813853e-15
Epoch: 249/1000 | Train Loss: 0.000854 | Time: 24.78s | LR: 3.2039805538813853e-15
Epoch: 250/1000 | Train Loss: 0.000855 | Time: 28.77s | LR: 2.5631844431051083e-15
Epoch: 251/1000 | Train Loss: 0.000855 | Time: 30.45s | LR: 2.5631844431051083e-15
Epoch: 252/1000 | Train Loss: 0.000855 | Time: 24.13s | LR: 2.0505475544840867e-15
Epoch: 253/1000 | Train Loss: 0.000854 | Time: 25.62s | LR: 2.0505475544840867e-15
Epoch: 254/1000 | Train Loss: 0.000855 | Time: 24.08s | LR: 1.6404380435872695e-15
